"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
8abcb4ff-d06f-4d78-aa62-fcb8513ea4cc,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A",1.0,10.0,406181cc-568d-4f79-90b8-99f2207dcf9d,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
8b18c315-7362-4e09-927b-f2c46e6d0b98,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",11aa6619-03e6-4045-9866-c68f7d9b84a8,"#N/A","#N/A",11.0,b5abd5ce-215e-4c1b-92db-0c64126acc30,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
95a94297-43f3-4a74-95a4-31279e5fc1ab,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,3947888f-803b-472f-8c4d-f5c7650f82d5,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
ae8d5944-1199-4d96-8ac2-ade7e53cca37,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,493c1374-b6b4-4bd0-b58b-40114de63b3d,false,0.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
aeabc3df-f491-4297-b8b7-656a6ea5bc15,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",11aa6619-03e6-4045-9866-c68f7d9b84a8,"#N/A","#N/A",11.0,263ac957-82fe-4ff5-973b-a0e3b657e4c9,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
b24bd9d8-6633-4992-b120-03bd3dcde264,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,8c533ba6-7f7a-4019-8eab-e03abc246c8d,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
b2c2d051-0997-4415-be81-e7014def99fb,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,94640b3f-5e61-488d-b02b-4cdb6827ffd6,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
b9da3fc0-96eb-4a3d-90e9-31b18499c946,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,5bdf6b6b-1b57-4a5a-98d1-fde94bf00616,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
bd6d874c-3ca9-43d4-a936-d56d729bf750,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,0620c398-ac4e-42d6-a931-778bc14cd497,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
bf82a433-2ce0-4c00-b555-d7f18f5bf0e0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,8d4214f7-9f15-4298-b84e-b66506341261,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
c26736b3-fff9-47d0-bd6b-0569b09aceab,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",7acb05c5-c521-427a-a1de-2588d5474eab,"#N/A","#N/A",12.0,e3af0806-0c4f-4622-a1ce-98cc7a26a49b,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
cb62633f-6bb1-456a-afab-1cd1d5e69f80,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",5b18c8b6-0f30-4c0d-bfc1-55d8859de904,"#N/A","#N/A",12.0,236e999f-da56-4ce8-bb5a-c116eacf7d5d,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
d08f5432-dff2-4c86-9645-7dab35fdc126,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A",1.0,10.0,8245f25b-6392-42b4-b1c6-8e4e71822ae1,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
da1ae428-8b93-4713-bf3f-306bd27eebae,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,43945675-bc91-4f35-8b0f-e29ec1bdd646,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
def0547f-d560-409c-ae5b-ea776c995e8a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",e02c9a99-58ac-4407-9d1a-5d33e1102333,"#N/A","#N/A",11.0,263ac957-82fe-4ff5-973b-a0e3b657e4c9,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
e084ff65-06ab-46a1-a031-1d0ff68b7b09,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,0f606653-c169-4549-a41f-a5ce85333060,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
fc127818-87f8-4e53-bd7c-92c24982e930,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,46aeb4fe-70d3-4abf-b011-6a3f62aab237,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
